id_setting,n_data,alpha,n_seed,method,minVar,minCVar,beta_var,p1,p2,rho,a,b,NoExcVaR
2S,1000,0.9,2,AdaBoostClassifier,187,269.0,525,0.2685659583546767,0.10366511308777579,0.1605462967784272,1.4042596610657858,3.8244732344685026,261
2S,1000,0.9,2,RandomForest,179,262.0,495,0.26178674459235174,0.09522044517235823,0.13809848217524323,1.6338658390527243,4.60734336360185,264
2S,1000,0.9,2,LogisticRegression,169,253.0,463,0.2521682640260086,0.08585434300954564,0.11806966195363021,1.8835900658681377,5.585986144087749,256
2S,1000,0.9,3,real,146,232.0,468,0.23179809272952198,0.08062059655309675,0.1510113017843,1.3031737272137314,4.3188471956200445,250
2S,1000,0.9,3,KNN,123,212.0,375,0.21146065931558275,0.0584751457252462,0.08251840387193322,2.3511271927084048,8.76738156507099,238
2S,1000,0.9,3,MLP,134,222.0,419,0.22112630598618466,0.0684501293971498,0.11353043713843704,1.7266007666901328,6.081609834847651,240
2S,1000,0.9,3,AdaBoostClassifier,130,218.0,426,0.21766002052008496,0.06869113255754634,0.12517459657174781,1.521191363690396,5.467650041736607,234
2S,1000,0.9,3,RandomForest,136,224.0,445,0.22326273709082747,0.0737874694204315,0.13805619072013692,1.3939246988849434,4.849502740216053,244
2S,1000,0.9,3,LogisticRegression,135,223.0,418,0.22231325768339502,0.06858877460730445,0.11085419606366513,1.783143148817533,6.237715199437374,243
2S,1000,0.9,4,real,129,217.0,469,0.21639610265899364,0.07657871461520498,0.1754534808799387,1.0169570435010367,3.682559403734863,244
2S,1000,0.9,4,KNN,161,246.0,468,0.24540738273800614,0.08463782632339077,0.13183227215647422,1.6161048154802475,4.969291261233662,270
2S,1000,0.9,4,MLP,147,234.0,507,0.23313664906422915,0.08870856773497496,0.19216417484818588,0.980079337990634,3.2238042724170963,258
2S,1000,0.9,4,AdaBoostClassifier,149,235.0,517,0.23430911456088283,0.09127476321154485,0.20274419421960016,0.9213792910323997,3.0109444376404957,273
2S,1000,0.9,4,RandomForest,162,247.0,519,0.2464678881740823,0.09531096561956791,0.18610958679128675,1.077848029256246,3.2953303074484266,271
2S,1000,0.9,4,LogisticRegression,147,234.0,496,0.2331624632489821,0.08641912850544806,0.17927741263329264,1.0674055214598042,3.51054200305894,264
2S,5000,0.9,1,real,717,1147.0,2377,0.2292039249243976,0.08134708566640958,0.1630878493114874,1.1761976785238852,3.95546696860788,1197
2S,5000,0.9,1,KNN,722,1151.0,2050,0.23004276944243568,0.06958057824726166,0.09406397622648484,2.2155562648543037,7.415506126046816,1186
2S,5000,0.9,1,MLP,682,1115.0,2345,0.22287802883166125,0.07835241566161044,0.1655729492447643,1.1232236735284447,3.9164102434933104,1168
2S,5000,0.9,1,AdaBoostClassifier,693,1125.0,2375,0.22480474921383406,0.0800576988865953,0.16939768511852843,1.1022780208866527,3.800990369707321,1182
2S,5000,0.9,1,RandomForest,710,1140.0,2203,0.2278724910251292,0.07429748349746575,0.1271499928587937,1.5642824741598915,5.300444668298929,1187
2S,5000,0.9,1,LogisticRegression,690,1122.0,2336,0.22430884824009314,0.07839315771764391,0.16137703351100588,1.1656587534941893,4.031009869317,1183
2S,5000,0.9,2,real,796,1217.0,2459,0.2433199206356968,0.08875948345254683,0.1605238334848788,1.272466958841848,3.9571375695984656,1210
2S,5000,0.9,2,KNN,819,1238.0,2101,0.24756040624503686,0.07688732113005929,0.08375374621987014,2.70825252627633,8.231511903780355,1251
2S,5000,0.9,2,MLP,825,1243.0,2490,0.24856722661401018,0.0916312782731841,0.15978885737924764,1.3070307712116664,3.951227885877108,1227
2S,5000,0.9,2,AdaBoostClassifier,823,1241.0,2460,0.24816052918004775,0.09027932437839772,0.15380081385938726,1.3653584305240503,4.136557748633832,1227
2S,5000,0.9,2,RandomForest,814,1233.0,2239,0.24654682430553862,0.08131049241965513,0.11049198676837305,1.9848079690637979,6.065622105076543,1245
2S,5000,0.9,2,LogisticRegression,828,1246.0,2478,0.2490934007096078,0.09131200565785615,0.1564561786980746,1.3430035224185952,4.048562527074255,1241
2S,5000,0.9,3,real,741,1168.0,2392,0.23352744228993505,0.08316308472851781,0.15993987603199736,1.2265677389989709,4.025781736374771,1198
2S,5000,0.9,3,KNN,766,1190.0,2047,0.23796299802430249,0.07194231298867242,0.08446129324956389,2.57945772653179,8.26028520808357,1228
2S,5000,0.9,3,MLP,767,1191.0,2447,0.2381233366415076,0.08670232241428272,0.16535937363348094,1.2019119719666123,3.8455226428771767,1238
2S,5000,0.9,3,AdaBoostClassifier,760,1185.0,2409,0.23697615605865896,0.08486407622639118,0.15875800557113048,1.2557117572604626,4.043183195485442,1239
2S,5000,0.9,3,RandomForest,758,1183.0,2169,0.23644969632842408,0.07562558419433546,0.10921120061377,1.9286184926445178,6.227951478017577,1221
2S,5000,0.9,3,LogisticRegression,758,1183.0,2415,0.23654932705666498,0.08497948774330856,0.16071378300347922,1.235317756375405,3.986923928884106,1223
2S,5000,0.9,4,real,756,1181.0,2416,0.23616666856670832,0.08488653987430658,0.16138104158397956,1.2272435700133444,3.9692711518204424,1218
2S,5000,0.9,4,KNN,733,1161.0,2063,0.23201832336955389,0.07059085684870929,0.09404987660725068,2.234952732891595,7.397703428646697,1172
2S,5000,0.9,4,MLP,743,1170.0,2458,0.23390461245432292,0.08593860858369265,0.17426572583061956,1.108324970210839,3.6300380683821105,1196
2S,5000,0.9,4,AdaBoostClassifier,738,1165.0,2447,0.23285102008756117,0.0851781597691311,0.17330972218958007,1.11070326611141,3.659313484051744,1187
2S,5000,0.9,4,RandomForest,724,1153.0,2208,0.2304852150750632,0.07524239737077082,0.12471098854813881,1.6176696087976938,5.400869989370892,1168
2S,5000,0.9,4,LogisticRegression,744,1170.0,2437,0.23397162309224767,0.08510871547033577,0.16942577120043775,1.146996699699249,3.755293093138455,1185
2S,10000,0.9,1,real,1469,2322.0,4782,0.23229157894488606,0.08278849772768945,0.16165964345973372,1.2046259718634853,3.981209766720713,2378
2S,10000,0.9,1,KNN,1480,2333.0,4065,0.23326448505561553,0.06998907247820356,0.0870928930815794,2.445076729704746,8.036916399898905,2353
2S,10000,0.9,1,MLP,1372,2236.0,4684,0.22356486286874394,0.07843540813852483,0.1639219245185268,1.1402848084044335,3.9601804157393814,2294
2S,10000,0.9,1,AdaBoostClassifier,1450,2306.0,4781,0.23052278352492106,0.08227763702745904,0.16426062626567392,1.1728736893017369,3.915012511634861,2343
2S,10000,0.9,1,RandomForest,1443,2298.0,4209,0.22989167541973657,0.07138997114987389,0.10472002020089798,1.9654065586577725,6.583865854406802,2329
2S,10000,0.9,1,LogisticRegression,1432,2290.0,4762,0.22896220477904244,0.08145523072796945,0.16444875922505026,1.16333899505272,3.9175825315821338,2360
2S,10000,0.9,2,real,1507,2357.0,4842,0.23563507446428109,0.08494503151536119,0.16334989417952384,1.206882385665378,3.9149458837853865,2378
2S,10000,0.9,2,KNN,1566,2411.0,4105,0.24100242567862318,0.07312512791449496,0.0822377959607116,2.6895530793416347,8.470305879886086,2425
2S,10000,0.9,2,MLP,1570,2414.0,4995,0.2413577996821132,0.08972361748469268,0.17186950336459017,1.1629506724855125,3.6554172195696606,2452
2S,10000,0.9,2,AdaBoostClassifier,1562,2407.0,5008,0.2406032550199026,0.08976945265696211,0.17447838402762206,1.1383827801889754,3.592986211867299,2419
2S,10000,0.9,2,RandomForest,1537,2385.0,4447,0.23841845926127067,0.07819783836643784,0.11760685768372739,1.7888311757843411,5.714074349412465,2446
2S,10000,0.9,2,LogisticRegression,1560,2405.0,4958,0.2404705942779527,0.08871445279407901,0.16911731907941838,1.1814452425331567,3.731609703249154,2445
2S,10000,0.9,3,real,1568,2411.0,4846,0.24119076984551505,0.08667024084148023,0.1557075657452062,1.3078076278459798,4.114487879851835,2395
2S,10000,0.9,3,KNN,1571,2415.0,4213,0.2414271529645666,0.07503189915526473,0.09143180844956066,2.399088845425743,7.538023927003568,2427
2S,10000,0.9,3,MLP,1590,2432.0,4908,0.24311610835483957,0.0884982107734318,0.15973404824267984,1.2788894442268148,3.98151659319312,2379
2S,10000,0.9,3,AdaBoostClassifier,1624,2461.0,4925,0.24619979677594353,0.08979088989931298,0.15721355791048536,1.3198216077910259,4.040952954472761,2431
2S,10000,0.9,3,RandomForest,1596,2438.0,4430,0.24372391077445968,0.07956051925890466,0.1093689991569662,1.9847312515748006,6.158627540296393,2451
2S,10000,0.9,3,LogisticRegression,1631,2469.0,4965,0.24684569329914063,0.09079047380476422,0.16060035633040168,1.2901726480007314,3.936463598949486,2432
2S,10000,0.9,4,real,1501,2350.0,4825,0.2350925884234288,0.08445040287464947,0.1622801598898209,1.2135909018015785,3.948591836241962,2386
2S,10000,0.9,4,KNN,1482,2335.0,3881,0.23342998325245276,0.06715534550057001,0.07078215186077912,3.064435045084896,10.063420264639122,2371
2S,10000,0.9,4,MLP,1439,2296.0,4648,0.22955817331714468,0.07937518401645051,0.1508427303851272,1.2922796555993814,4.337141579662203,2336
2S,10000,0.9,4,AdaBoostClassifier,1483,2336.0,4741,0.23353065085765087,0.0823318480677979,0.15528604214799463,1.27034341037403,4.16938540341694,2371
2S,10000,0.9,4,RandomForest,1504,2355.0,4253,0.23544455356212576,0.0738278739953132,0.10218151052860044,2.0687350611659325,6.717771272776955,2373
